"Organization","Recurring Template Number","Invoice Profile Contacts","Amount"
"Chi Psi Central Office","00000045989","kcarden@chipsi.org",364.000
"CHRIST CHURCH CATHEDRAL","00000003928","MMCQUEEN@CHRISTCATHEDRAL.ORG",520.000
"CITI GLOBAL MARKETS","00000003943","nammarketsinvoices@citi.com, anna.pennesi@citi.com",338.000
"CJ Advertising","00000028439","greg@cjadvertising.com",364.000
"CMT Headquarters (Viacom)","00000003970","nashvilleworkplace@paramount.com",1518.000
"COMFORT GROUP","00000004065","accountspayable@thecomfortgroup.com",637.000
"Commercial Insurance Associates, LLC","00000004074","kscheib@COM-INS.com",494.000
"Community Healthcare Trust Incorporated","00000039285","accountspayable@chct.reit",941.000
"Compass Rose Events","00000028437","mgreen@compassroseevents.com",182.000
"Consilio","00000036272","accountspayable@consilio.com",915.000
"Cool Springs Internal Medicine & Pediatrics","00000021117","jpartin@csimp.net",403.000
"Cornelius & Collins LLP","00000049215","bpfrancis@cclawtn.com",338.000
"COUNTRY MUSIC ASSOCIATION","00000004085","reception@cmaworld.com",481.000
"Crema - BRENTWOOD 9616","00000050893","cremafranklin@meinvoices.com, graciela@crema-coffee.com",832.000
"Crema - DOWNTOWN","00000003133","accounting@crema-coffee.com",884.000
"Crema - EAST","00000037890","accounting@crema-coffee.com",702.000
"Crowe LLP","00000003199","Diane.conard@crowe.com, cindy.lattanzi@crowe.com",224.250
"CS-DZL MANAGEMENT","00000003134","accountspayable@dzlmanagement.com",221.000
"Currax Pharmaceuticals","00000045079","accountspayable@curraxpharma.com, anicholas@curraxpharma.com",676.000
"Dale & Associates","00000003439","tanika@daleandassociates.net",624.000
"DCI Laboratory (Dialysis Clinic Inc)","00000018946","laura.williamson@dciinc.org, Accountspayable@dciinc.org",403.000
"Dunham Springs POA  c/o: Metropolitan Properties","00000049609","stephanie@mpmnashville.com",1235.000
"DVL Seigenthaler","00000003158","ginger.poag@finnpartners.com",611.000
"E+ CANCERCARE","00000004100","accountspayable@epluscancercare.com",325.000
"e|spaces - Burton Hills","00000037034","chad@chadtroupcpa.com, mark@espaces.com",338.000
"Enterprise","00000050133","e523nj@erac.com",455.000
"EnviroScience Inc","00000028433","accounting@enviroscienceinc.com",299.000
"Equine Light Therapy","00000049615","creguli@comcast.net",260.000
"ESS, Inc","00000004105","accounting@ESSNashville.com",429.000
"Falcon Coffee Bar","00000041599","angelalainomusic@gmail.com",858.000
"FAMILY &  CHILDREN SERVICES","00000004108","accountspayable@fcsnashville.org",1456.000
"FedEx - Athens Way","00000004109","parodriguez@fedex.com",221.000
"Feintool Tennessee","00000004110","ap.tennessee@feintool.com",338.000
"Fifth+Broadway (NW 5B Office & Retails LLC)","00000044273","csullivan@northwoodretail.com",416.000
"First Church of the Nazarene","00000045075","accounts@nfcn.org,leichenberg@nfcn.org, dwigart@nfcn.org",351.000
"FirstBank","00000045607","julia.hill@firstbankonline.com",338.000
"Franke Coffee Systems","00000039613","brandon.robinson@franke.com",676.000
"Franklin Dermatology Group","00000005269","emilymarlar@franklinderm.net",741.000
"FREEMAN WEBB","00000004291","office@earthsavers.org",466.000
"Fresh Branding","00000048513","simone@mmmthatsfresh.com",260.000
"Friends Of The Warner Parks","00000046870","jsteele@warnerparks.org",234.000
"Frist Art Museum","00000048621","JMartin@fristartmuseum.org",260.000
"Frizzell & Frizzell","00000046636","becky.frizzell@comcast.net",390.000
"Gateway Plaza I Property Owner, LLC (Avison Young)","00000037910","Mick.Wrigley@avisonyoung.com",338.000
"Gaylord - Grand Ole Opry","00000005265","dbest@opry.com",897.000
"Gaylord - Wendell Bldg","00000004200","kmartin@rymanhp.com",2626.000
"GEODIS Americas","00000041595","dewayne.mccroskey@geodis.com",3751.000
"George P. Johnson Experience Marketing","00000038154","gpjinvoice@gpj.com",713.000
"GHERTNER & CO","00000004300","vhollingsworthsteele@avidxchange.com, AP@ghertner.com",923.000
"GHP Environmental + Architecture & The Art Company","00000034870","accountspayable@ghp1.com",728.000
"Go West Creative","00000048515","invoice@gwcg.com",429.000
"Good Shepherd United Methodist Church","00000046637","dtaylor@thegsumc.org",162.500
"Goodall Homes","00000046638","goodallaccountspayable@goodallhomes.com",942.500
"Governor's Mansion","00000004199","OAS.ElectronicInvoices@tn.gov",858.000
"Grace Community Church","00000046377","paul.dornan@sfmservice.com",884.000
"Great Kitchens","00000034878","Aaron@greatkitchens.com",221.000
"Greater Nashville Realtors","00000015579","lonnie@greaternashvillerealtors.org",429.000
"Gruhn Guitars","00000049473","Shannon@gruhn.com",962.000
"Hands On Nashville","00000047209","accounting@hon.org",572.000
"Hastings Architecture Associates, LLC","00000046641","HGibbs@hastingsarchitecture.com",1300.000
"Hathorne","00000046877","johns@hathornenashville.com",897.000
"HD Architects","00000005263","katherine.brown@hdarchitects.com, katherine.brown@hdarchitects.com",338.000
"Healing Innovations","00000043091","ben.taylor@healinginnovations.com",377.000
"HealthStream Inc.  ONE","00000049625","robyn.evans@healthstream.com",500.500
"HEI Schools Franklin","00000050639","admin@heifranklin.com",260.000
"Hendersonville Church Of Christ","00000046644","BOGuin@hendersonville.org",325.000
"Henkel","00000050739","sheryl.seifert@henkel.com",338.000
"Heritage Group (HG Capital Management)","00000049217","ginger@heritagegroupusa.com, florence@heritagegroupusa.com",364.000
"HireQuest Direct","00000005336","accounting@hqdirect.com",312.000
"Holcim (formerly Firestone Building Products)","00000048551","chandni.patel@holcim.com",1430.000
"HUMANITIES TENNESSEE","00000004756","info@humanitiestennessee.org",312.000
"i3 verticals","00000047987","amurray@i3verticals.com",377.000
"Inova Payroll, Inc","00000030726","AccountsPayable@inovapayroll.com",377.000
"Ironware","00000050894","Karin@ironwareinternational.com",560.000
"J & J Printers, Inc.","00000005261","bob@jandjprinters.com",208.000
"JLL","00000005332","Facilities-Atlanta@am.jll.com",598.000
"JLL/Royal Philips","00000029369","Lamont.Hill@jll.com",725.000
"JLL/Royal Philips","00000047437","Lamont.Hill@jll.com",150.000
"JOHN MCDOUGALL CO","00000005201","accountspayable@jwmcd.com,mcraven@jwmcd.com, accountspayable@jwmcd.com",234.000
"Johnson Johnson Crabtree Architects P.C.","00000005018","jcarpenter@jjca.com",338.000
"JONES CO. OF TENNESSEE","00000004773","invoices@livejones.com",377.000
"KAY GRIFFIN ENKEMA & COLBERT, PLLC","00000004287","kristen@kaygriffin.com",468.000
"KCI TECHNOLOGIES INC.","00000036268","AP@kci.com",377.000
"KRAFT CPAS, PLLC (Freeman Webb - Triple Five)","00000004286","office@earthsavers.org",466.000
"Kroger-895","00000005200","NashvilleOPS@kroger.com, tabitha.snyder@stores.kroger.com",273.000
"LBMC","00000015583","accountspayable@lbmc.com",650.000
"LEADER LAW, PLC","00000004758","sgordon@leader.law",468.000
"LeVAN, SPRADER, PATTON & PLYMIRE","00000036652","candace@lsplaw.net",468.000
"LKQ Corporation","00000004282","mtcollier@LKQCORP.com,wjsweeney@lkqcorp.com, frcash@LKQCORP.com",1495.000
"Lockeland Table","00000001677","hal@lockelandtable.com,kriswkoon@gmail.com, cara@lockelandtable.com",1060.000
"Marubeni Itochu Steel America","00000004512","Howell-a@us.benichu.com",299.000
"Mazzetti","00000009118","kvaughan@mazzetti.com",247.000
"MCNEELY PIGOTT & FOX","00000004279","AdminPO@mpf.com",741.000
"Midtown Millworks Owner's Association","00000004186","carol@capitalcorporation.net",1079.000
"MILLENIUM MAXWELL HOUSE HOTEL","00000005196","wanda.gunter@millenniumhotels.com",182.000
"Minuteman Press","00000047145","shaun@nashvilleprinting.com",585.000
"Montessori Academy - Brentwood","00000043955","asitter@montessoriacad.org",741.000
"Moody Nolan, Inc","00000047998","accountspayable@moodynolan.com",260.000
"NASBA","00000004278","MLANE@NASBA.ORG",273.000
"Nashville Area Chamber of Commerce","00000048549","ap@nashvillechamber.com",227.500
"Nashville Humane Association","00000048073","sherrie@nashvillehumane.org",910.000
"Nashville Motorcycle Repair, LLC","00000045077","andrew@nashvillemotorcyclerepair.com",299.000
"Nashville Public Radio","00000047986","accounts.payable@wpln.org",598.000
"NASHVILLE SCENE - FW Publishing","00000004774","accounting@fwpublishing.com",312.000
"Nashville Sounds","00000046651","accounting@nashvillesounds.com",1800.000
"Nashville Sports Council","00000004780","smcgilberry@nashvillesports.com",417.000
"Nashville Veterinary Dermatology","00000049611","soneill@nashvillevetderm.com",546.000
"Nashville Veterinary Specialists","00000019959","jlopez@nashvillevetspecialists.com",1196.000
"Nephila Advisors LLC - 8841","00000047369","Billing@nephilaadvisors.com",325.000
"NORTH HIGHLAND","00000005020","dawn.reed@northhighland.com",351.000
"North, Pursell, & Ramos, P.L.C.","00000015573","bkeane@nprattorneys.com",312.000
"Office Resources Inc","00000016868","ap@oriusa.com",351.000
"Ogletree, Deakins, Nash, Smoak & Stewart, P.C.","00000046652","dana.holsomback@ogletree.com",377.000
"Olympus Midtown (bm333)","00000046653","synergyebill500@conservice.com, WMSBSCurrMonthInv@wm.com",1820.000
"One Nashville Place, LLC  (Unico Properties)","00000047048","aBelle@unicoprop.com, brec@unicoprop.com",4438.000
"ORION BUILDING CORPORATION","00000004775","tcliburn@orionbldg.com, jmoseley@orionbldg.com",195.000
"Our Kids Center","00000016650","margaret.brandon@ourkidscenter.com",195.000
"Park Central","00000046654","joanne@iwservices.net, allison@issolutions.biz",2236.000
"Parman Energy Corp","00000005189","ccheek@parmanenergy.com",351.000
"Parman Tractor and Equipment","00000036646","mbaker@parmancorp.com",338.000
"PATHWAY LENDING (Southeast Community Capital Corp)","00000005187","accountspayable@pathwaylending.org",403.000
"Pfeffer Torode Architecture","00000036274","accounting@pfeffertorode.com",1430.000
"Phase2 Labs","00000047273","AP@Phase2Laboratories.com",195.000
"Phenix Studios (Gelfand, Rennert & Feldman, LLC)","00000049744","cnelson@grfllp.com",260.000
"Pinnacle Dermatology (QualDerm)","00000026637","accountspayable@qualderm.com",364.000
"Premise Health-1","00000004172","Ap.Corp@premisehealth.com, rhonda.smotherman@PremiseHealth.com",2080.000
"PRICE CPAS, PLLC","00000004782","accounting@fridrichrealtors.com",377.000
"Prisma Nashville LLC","00000049902","apnashville@poweredbyprisma.com",338.000
"Project Return Inc","00000045991","nlallatin@projectreturninc.org",195.000
"Provident Entertainment (Sony Music Nashville)","00000048552","Andrew.Stines@sonymusic.com",247.000
"Purpose Preparatory Academy","00000019337","billing@purposeprep.org",1560.000
"RAMBOLL (OBG ENGINEERS)","00000004104","lkinkel@ramboll.com",726.000
"Rapha Family Wellness","00000046655","dawnlinn@gmail.com",390.000
"Red Cedar Glen (paid by bill.com)","00000046656","scarver@RedCedarGlen.org",390.000
"REI000064 - BRENTWOOD","00000003321","WMSBSCurrMonthInv@wm.com",3120.000
"Reliant Realty","00000046657","karenf@reliantrealty.com, juliea@reliantrealty.com",559.000
"Remedy Bone Broth","00000049743","Justin@remedybonebroth.com",195.000
"Renasant Bank","00000008109","srigby@renasant.com",377.000
"RESOURCELABEL.COM","00000048742","lori.glover@resourcelabel.com",442.000
"Restaurant Growth Services, LLC (ABRH)","00000003504","APinvoices@abrholdings.com, KAT.CARTER@abrholdings.COM",403.000
"RFD TV","00000046658","katie@rfdtv.com, robert@rfdtv.com",448.500
"RHYTHM AT MUSIC ROW HOA - 2520 (First Service Residential)","00000004171","michael.hagewood@fsresidential.com",910.000
"Rivergate Pediatrics","00000004757","bderseweh@rgpeds.com",312.000
"Rock City Construction","00000050741","sfrogge@rockcityconstruction.com",260.000
"Rocket Mark Corporation","00000015856","kelly@gomailgreen.com",338.000
"Rodem Process","00000046660","pwolinski@rodem.com, ap@rodem.com",195.000
"ROTHSCHILD & AUSBROOKS, PLLC","00000004766","klawrence@fmccpa.com",312.000
"S&ME Inc.","00000004191","kbanker@smeinc.com",286.000
"Saint Elle","00000043019","leigh@thecordelle.com",1300.000
"SB# 10172--COOL SPRINGS","00000003162","WEMBills.impact@engie.com",776.000
"SB# 10646--GALLATIN","00000003175","WEMBills.impact@engie.com",764.000
"SB# 11204-METRO CENTER","00000003292","WEMBills.impact@engie.com",2370.000
"SB# 11294--HERMITAGE","00000003293","WEMBills.impact@engie.com",294.000
"SB# 8338-BRENTWOOD","00000003302","WEMBills.impact@engie.com",596.000
"SB# 8349-COOL SPRINGS","00000003304","WEMBills.impact@engie.com",890.000
"SB# 8403-BELLE MEADE 2","00000003308","WEMBills.impact@engie.com",672.000
"SB# 8477-FRANKLIN HWY 96","00000003310","WEMBills.impact@engie.com",1026.000
"SB# 9778-MARYLAND FARMS","00000003313","WEMBills.impact@engie.com",984.000
"SB# 9779-ANTIOCH","00000009121","WEMBills.impact@engie.com",2166.000
"SB# 9781-WEST END AVE","00000003317","WEMBills.impact@engie.com",795.000
"Schneider Electric USA, INC","00000038156","ap@wasteharmonics.com",1749.000
"Schneider Electric--THREE","00000046365","ap@wasteharmonics.com",751.000
"Schneider Electric--TWO","00000046363","ap@wasteharmonics.com",1271.000
"SESAC","00000046663","ckonieczny@sesac.com",494.000
"Sixth and Taylor (Warner Bass Building)","00000046665","sixthandtaylor@bill.com",650.000
"Slumerican Clothing and Apparel","00000046449","accounting@slumerican.com, accounting@slumerican.com",650.000
"Smith Gee Studio, LLC","00000004092","kdobbins@smithgeestudio.com",403.000
"SMNutrition","00000045673","katelyn@smnutrition.com",481.000
"SMS Holdings","00000004268","adennis@smsholdings.com, invoices4sms@avidbill.com",416.000
"SONY/ATV MUSIC PUBL - BLDG 1","00000048650","Bobby.Strickland@sonyatv.com",416.000
"SOUTHERN MIGRANT LEGAL SERVICES","00000048601","mperez@trla.org, mperez@trla.org",260.000
"Southern Veterinary Partners dba The Animal Clinic","00000046669","synergyebill580@conservice.com, jennifersimmons@conservice.com",195.000
"St. Bartholomew's Episcopal Church","00000009116","cvoiles@stbs.net",377.000
"St. Bernard Academy","00000050139","jenhelmwimberley@gmail.com, ltoomey@stbernard.org",416.000
"STANFORD PLACE HOA","00000004266","ap@hndllc.com, d.francis@hndllc.com",572.000
"STEPHENS, INCORPORATED","00000004674","ap@stephens.com",299.000
"STITES AND HARBISON, PLLC","00000004170","stacia.hutcherson@STITES.COM",1508.000
"Summer Street Lofts - Freeman Webb","00000046667","office@earthsavers.org",650.000
"Superior Oil Company","00000009123","eboyd@superioroil.com",481.000
"SVMIC","00000046873","alissak@svmic.com, reneet@svmic.com",728.000
"SWVP-NY P45 TOWER ONE LLC c/o CBRE","00000046835","Elizabeth.Alevizos@cbre.com",2823.660
"TAG Group","00000050673","Justine.Liddelow@tag-group.com",338.000
"TBN (Trinity Broadcasting Network)","00000046668","KSarcona@tbn.tv",260.000
"TDEC at 711 R.S. Gass","00000046875","Jennifer.Gelfand@tn.gov",406.250
"Tennessee Bankers Association","00000004263","sjustice-mccray@tnbankers.org",559.000
"Tennessee Concrete Association","00000004760","jdargavel@newmarketwaste.com",273.000
"Tennessee Disability Coalition","00000050988","beth_t@tndisability.org",377.000
"Tennessee Historical Commission","00000001714","accounts.payable@TN.gov, Laura.Ragan@tn.gov",208.000
"TENNESSEE HOSPITAL ASSOCATION","00000004262","THApayables@tha.com",481.000
"Tennessee Orthopaedic Alliance","00000016652","accountspayable@toa.com, griffinhm@toa.com",806.000
"TENNESSEE STEEL HAULERS ONE","00000004261","AP@tenh.com",377.000
"Tennessee Wildlife Resource Agency c/o of Karelle Johnson","00000039277","karelle@karellejohnson.com",468.000
"The Adelicia","00000005019","heather.goodman@fsresidential.com,kim.brassfield@fsresidential.com, tieana.johnson@fsresidential.com",448.500
"The Buntin Group","00000046670","jallen@buntingroup.com",377.000
"The Cordelle","00000010135","nealy@thecordelle.com",1092.000
"The Entrepreneur Center","00000041607","nashvilleec@bill.com",2990.000
"The Estuary","00000018745","carriekrenson@theestuary.org",273.000
"THE GIDEONS INTERNATIONAL","00000004259","accountspayable@gideons.org",481.000
"the GreenHouse","00000048367","jackie@greenhousenash.com, bobbi@greenhousenash.com",3042.000
"The Healing Trust","00000003520","thehealingtrust@bill.com",221.000
"THE LOFTS","00000004256","teresa@paragontn.com",507.000
"The Marquee at Belle Meade","00000046647","marqueemgr@lincolnapts.com",1531.000
"The Nashville Food Project","00000046671","info@thenashvillefoodproject.org",650.000
"The Southern Steak and Oyster Restaurant","00000005179","accounting@thesouthernnashville.com",273.000
"The Tennessean Gannett","00000034876","bburnett@tennessean.com",1456.000
"Third Man Records","00000004146","cooper@thirdmanrecords.com",3666.000
"Thomas & Hutton","00000019952","collins.m@thomasandhutton.com",416.000
"Thompson Burton PLLC","00000049830","skye@thompsonburton.com",429.000
"TOWNHOMES OF SHADOW GLEN","00000004140","teresa@paragontn.com",1872.000
"Trader Joe's 792 00525 (Riverroad)","00000047210","invoices@rubicon.com,trader.joes@Rubicon.com, Julia.Greatrex@rubicon.com",1620.000
"TRC WorldWide Engineering","00000005069","ap@trcww.com",338.000
"Trevecca Community Church of the Nazarene","00000036654","dkoon@trevecca.church",338.000
"Turner Co-Grassmere Park","00000046673","stjoiner@tcco.com, slowery@tcco.com",338.000
"TWB Company LLC","00000017334","Thomas.johns@twbcompany.com",1818.000
"UNIVERSAL MUSIC PUBLISHING GRO","00000005068","Tammy.Helm@umusic.com",325.000
"Urbanex Pest Control","00000047975","abottomley@urbanexpro.com",442.000
"USDA  (Avision Young)","00000040307","amy.riley@avisonyoung.com,cindy.gibbs@avisonyoung.com, cindy.gibbs@avisonyoung.com",338.000
"UT Center for Industrial Services","00000049507","marykate.thomas@tennessee.edu, felicia.roberts@tennessee.edu",338.000
"VANDERBILT CRYSTAL TERRACE","00000004129","angela.r.roberts@vumc.org",936.000
"VANDERBILT HealthIT ONE","00000004230","HealthIT.Invoices@vumc.org, renee.mccrary@vumc.org",962.000
"Vanderbilt Strategic Marketing","00000034866","steven.a.sanders@vumc.org, melita.rippy@vumc.org",520.000
"Vanderbilt Strategy & Innovation","00000014077","adriana.gaitan@vumc.org",624.000
"Vanderbilt-Research Application Development Systems","00000015855","dacsupplies@vumc.org",208.000
"Velocis Station 40 Apartments  SPE LLC","00000013196","synergyebill2@conservice.com, jason.capps@woodresidential.com",3432.000
"Velocity Risk Underwriters","00000015647","ap@velocityrisk.com",286.000
"VILLAGE REAL ESTATE|HILLSBORO VILLAGE","00000004218","accounting@parks-village.com",650.000
"VMLY&R","00000039611","jessica.stieben@vmlyr.com",221.000
"VU - CENTER FOR INTEGRATIVE HEALTH  (YRLY)","00000005066","waverly.demers@vumc.org",806.000
"Warner Music Group ONE, TWO, & THREE","00000037898","nashfacilities@wmg.com",3290.000
"Wells Fargo Bank (River Road)","00000046674","ap@rubicon.com, invoices@rubicon.com",975.000
"Wild Cow, The","00000046869","thewildcow@live.com",1144.000
"WILLS COMPANY","00000004777","accountant@willscompany.com",299.000
"Winners Choice Trophy","00000046675","winnerschoice001@bellsouth.net",390.000
"WME Entertainment","00000020269","AMartinie@WMEAgency.com",533.000
"WSL:  Philips Plaza, LLC","00000047250","jherring@CommonwealthCommercial.com",1974.700
"WSL:  Philips Plaza, LLC","00000050869","jherring@CommonwealthCommercial.com",2126.600
"WSP USA","00000004509","beth.polca@wsp.com, debra.skelly@WSP.com",260.000
"WYLIE STEEL FABRICATORS, INC.","00000019335","accounting@wyliesteel.com",416.000
"Zeitlin Sotheby’s International Realty","00000034198","sam@zeitlin.com",741.000
"ZYCRON INC. (BG Staffing)","00000005061","rtaylor@zycron.com, corp.accountspayable@bgstaffing.com",338.000
